state,sex,age_group,population
NV,Female,Under 25 years,429799
NV,Male,Under 25 years,469092
NV,All Sexes,35-44 years,383267
NV,Female,35-44 years,188682
NV,Male,35-44 years,194585
NV,All Sexes,45-54 years,384349
NV,Female,45-54 years,188268
NV,Male,45-54 years,196081
NV,All Sexes,55-64 years,346199
NV,Female,55-64 years,176569
NV,Male,55-64 years,169630
NV,All Sexes,65-74 years,249640
NV,Female,65-74 years,128318
NV,Male,65-74 years,121322
NV,All Sexes,75-84 years,113808
NV,Female,75-84 years,59556
NV,Male,75-84 years,54252
NV,All Sexes,85 years and over,37407
NV,Female,85 years and over,23630
NV,Male,85 years and over,13777
NV,All Sexes,Total,2821016
NV,Female,Total,1394694
NV,Male,Total,1426322
NY,All Sexes,25-34 years,2831379
NY,Female,25-34 years,1423137
NY,Male,25-34 years,1408242
NY,All Sexes,Under 25 years,6047095
NY,Female,Under 25 years,2894735
NY,Male,Under 25 years,3152360
NY,All Sexes,35-44 years,2501802
NY,Female,35-44 years,1275418
NY,Male,35-44 years,1226384
NY,All Sexes,45-54 years,2780247
NY,Female,45-54 years,1429775
NY,Male,45-54 years,1350472
NY,All Sexes,55-64 years,2496854
NY,Female,55-64 years,1305099
NY,Male,55-64 years,1191755
NY,All Sexes,65-74 years,1600042
NY,Female,65-74 years,873155
NY,Male,65-74 years,726887
NY,All Sexes,75-84 years,866782
NY,Female,75-84 years,505529
NY,Male,75-84 years,361253
NY,All Sexes,85 years and over,426977
NY,Female,85 years and over,289200
NY,Male,85 years and over,137777
NY,All Sexes,Total,19551178
NY,Female,Total,9996048
NY,Male,Total,9555130
OH,All Sexes,25-34 years,1469248
OH,Female,25-34 years,732540
OH,Male,25-34 years,736708
OH,All Sexes,Under 25 years,3658185
OH,Female,Under 25 years,1748009
OH,Male,Under 25 years,1910176
OH,All Sexes,35-44 years,1406232
OH,Female,35-44 years,707864
OH,Male,35-44 years,698368
OH,All Sexes,45-54 years,1603648
OH,Female,45-54 years,814557
OH,Male,45-54 years,789091
OH,All Sexes,55-64 years,1572581
OH,Female,55-64 years,810766
OH,Male,55-64 years,761815
OH,All Sexes,65-74 years,1004672
OH,Female,65-74 years,537088
OH,Male,65-74 years,467584
OH,All Sexes,75-84 years,540558
OH,Female,75-84 years,312869
OH,Male,75-84 years,227689
OH,All Sexes,85 years and over,251107
OH,Female,85 years and over,168645
OH,Male,85 years and over,82462
OH,All Sexes,Total,11506231
OH,Female,Total,5832338
OH,Male,Total,5673893
OK,All Sexes,25-34 years,533743
OK,Female,25-34 years,262322
OK,Male,25-34 years,271421
OK,All Sexes,Under 25 years,1312109
OK,Female,Under 25 years,624213
OK,Male,Under 25 years,687896
OK,All Sexes,35-44 years,473291
OK,Female,35-44 years,234975
OK,Male,35-44 years,238316
OK,All Sexes,45-54 years,490534
OK,Female,45-54 years,246726
OK,Male,45-54 years,243808
OK,All Sexes,55-64 years,474825
OK,Female,55-64 years,245329
OK,Male,55-64 years,229496
OK,All Sexes,65-74 years,322630
OK,Female,65-74 years,171600
OK,Male,65-74 years,151030
OK,All Sexes,75-84 years,173078
OK,Female,75-84 years,98166
OK,Male,75-84 years,74912
OK,All Sexes,85 years and over,66177
OK,Female,85 years and over,43061
OK,Male,85 years and over,23116
OK,All Sexes,Total,3846387
OK,Female,Total,1926392
OK,Male,Total,1919995
OR,All Sexes,25-34 years,548492
OR,Female,25-34 years,271217
OR,Male,25-34 years,277275
OR,All Sexes,Under 25 years,1199565
OR,Female,Under 25 years,571966
OR,Male,Under 25 years,627599
OR,All Sexes,35-44 years,518150
OR,Female,35-44 years,255677
OR,Male,35-44 years,262473
OR,All Sexes,45-54 years,515058
OR,Female,45-54 years,259250
OR,Male,45-54 years,255808
OR,All Sexes,55-64 years,539512
OR,Female,55-64 years,279421
OR,Male,55-64 years,260091
OR,All Sexes,65-74 years,374410
OR,Female,65-74 years,195135
OR,Male,65-74 years,179275
OR,All Sexes,75-84 years,175646
OR,Female,75-84 years,96749
OR,Male,75-84 years,78897
OR,All Sexes,85 years and over,84518
OR,Female,85 years and over,54424
OR,Male,85 years and over,30094
OR,All Sexes,Total,3955351
OR,Female,Total,1983839
OR,Male,Total,1971512
PA,All Sexes,25-34 years,1634292
PA,Female,25-34 years,806846
PA,Male,25-34 years,827446
PA,All Sexes,Under 25 years,3842294
PA,Female,Under 25 years,1831883
PA,Male,Under 25 years,2010411
PA,All Sexes,35-44 years,1515459
PA,Female,35-44 years,760642
PA,Male,35-44 years,754817
PA,All Sexes,45-54 years,1804510
PA,Female,45-54 years,916121
PA,Male,45-54 years,888389
PA,All Sexes,55-64 years,1762338
PA,Female,55-64 years,905747
PA,Male,55-64 years,856591
PA,All Sexes,65-74 years,1152343
PA,Female,65-74 years,615457
PA,Male,65-74 years,536886
PA,All Sexes,75-84 years,656631
PA,Female,75-84 years,382251
PA,Male,75-84 years,274380
PA,All Sexes,85 years and over,324273
PA,Female,85 years and over,218151
PA,Male,85 years and over,106122
PA,All Sexes,Total,12692140
PA,Female,Total,6437098
PA,Male,Total,6255042
PR,All Sexes,25-34 years,444100
PR,Female,25-34 years,228671
PR,Male,25-34 years,215429
PR,All Sexes,Under 25 years,1097001
PR,Female,Under 25 years,522367
PR,Male,Under 25 years,574634
PR,All Sexes,35-44 years,448616
PR,Female,35-44 years,234698
PR,Male,35-44 years,213918
PR,All Sexes,45-54 years,463546
PR,Female,45-54 years,247265
PR,Male,45-54 years,216281
PR,All Sexes,55-64 years,434591
PR,Female,55-64 years,236163
PR,Male,55-64 years,198428
PR,All Sexes,65-74 years,351317
PR,Female,65-74 years,192713
PR,Male,65-74 years,158604
PR,All Sexes,75-84 years,189519
PR,Female,75-84 years,107636
PR,Male,75-84 years,81883
PR,All Sexes,85 years and over,73396
PR,Female,85 years and over,46786
PR,Male,85 years and over,26610
PR,All Sexes,Total,3502086
PR,Female,Total,1816299
PR,Male,Total,1685787
RI,All Sexes,25-34 years,137781
RI,Female,25-34 years,68195
RI,Male,25-34 years,69586
RI,All Sexes,Under 25 years,320293
RI,Female,Under 25 years,152890
RI,Male,Under 25 years,167403
RI,All Sexes,35-44 years,125831
RI,Female,35-44 years,63848
RI,Male,35-44 years,61983
RI,All Sexes,45-54 years,152284
RI,Female,45-54 years,78782
RI,Male,45-54 years,73502
RI,All Sexes,55-64 years,142295
RI,Female,55-64 years,74171
RI,Male,55-64 years,68124
RI,All Sexes,65-74 years,89611
RI,Female,65-74 years,47753
RI,Male,65-74 years,41858
RI,All Sexes,75-84 years,48107
RI,Female,75-84 years,27685
RI,Male,75-84 years,20422
RI,All Sexes,85 years and over,28799
RI,Female,85 years and over,20380
RI,Male,85 years and over,8419
RI,All Sexes,Total,1045001
RI,Female,Total,533704
RI,Male,Total,511297
SC,All Sexes,25-34 years,625847
SC,Female,25-34 years,316529
SC,Male,25-34 years,309318
SC,All Sexes,Under 25 years,1530365
SC,Female,Under 25 years,731979
SC,Male,Under 25 years,798386
SC,All Sexes,35-44 years,597453
SC,Female,35-44 years,304445
SC,Male,35-44 years,293008
SC,All Sexes,45-54 years,650886
SC,Female,45-54 years,336717
SC,Male,45-54 years,314169
SC,All Sexes,55-64 years,633558
SC,Female,55-64 years,336760
SC,Male,55-64 years,296798
SC,All Sexes,65-74 years,466367
SC,Female,65-74 years,248729
SC,Male,65-74 years,217638
SC,All Sexes,75-84 years,214465
SC,Female,75-84 years,121806
SC,Male,75-84 years,92659
SC,All Sexes,85 years and over,80848
SC,Female,85 years and over,54486
SC,Male,85 years and over,26362
SC,All Sexes,Total,4799789
SC,Female,Total,2451451
SC,Male,Total,2348338
SD,All Sexes,25-34 years,111742
SD,Female,25-34 years,53706
SD,Male,25-34 years,58036
SD,All Sexes,Under 25 years,288384
SD,Female,Under 25 years,136557
SD,Male,Under 25 years,151827
SD,All Sexes,35-44 years,96916
SD,Female,35-44 years,46986
SD,Male,35-44 years,49930
SD,All Sexes,45-54 years,106922
SD,Female,45-54 years,52973
SD,Male,45-54 years,53949
SD,All Sexes,55-64 years,111798
SD,Female,55-64 years,55861
SD,Male,55-64 years,55937
SD,All Sexes,65-74 years,68865
SD,Female,65-74 years,34851
SD,Male,65-74 years,34014
SD,All Sexes,75-84 years,40129
SD,Female,75-84 years,22533
SD,Male,75-84 years,17596
SD,All Sexes,85 years and over,20215
SD,Female,85 years and over,13370
SD,Male,85 years and over,6845
SD,All Sexes,Total,844971
SD,Female,Total,416837
SD,Male,Total,428134
TN,All Sexes,25-34 years,861200
TN,Female,25-34 years,434840
TN,Male,25-34 years,426360
TN,All Sexes,Under 25 years,2073993
TN,Female,Under 25 years,994900
TN,Male,Under 25 years,1079093
TN,All Sexes,35-44 years,840617
TN,Female,35-44 years,425311
TN,Male,35-44 years,415306
TN,All Sexes,45-54 years,897798
TN,Female,45-54 years,459664
TN,Male,45-54 years,438134
TN,All Sexes,55-64 years,843276
TN,Female,55-64 years,442405
TN,Male,55-64 years,400871
TN,All Sexes,65-74 years,584549
TN,Female,65-74 years,310467
TN,Male,65-74 years,274082
TN,All Sexes,75-84 years,292526
TN,Female,75-84 years,168783
TN,Male,75-84 years,123743
TN,All Sexes,85 years and over,107374
TN,Female,85 years and over,72986
TN,Male,85 years and over,34388
TN,All Sexes,Total,6501333
TN,Female,Total,3309356
TN,Male,Total,3191977
TX,All Sexes,25-34 years,3915774
TX,Female,25-34 years,1931029
TX,Male,25-34 years,1984745
TX,All Sexes,Under 25 years,9671401
TX,Female,Under 25 years,4617951
TX,Male,Under 25 years,5053450
TX,All Sexes,35-44 years,3642463
TX,Female,35-44 years,1825174
TX,Male,35-44 years,1817289
TX,All Sexes,45-54 years,3471589
TX,Female,45-54 years,1750108
TX,Male,45-54 years,1721481
TX,All Sexes,55-64 years,2958735
TX,Female,55-64 years,1526846
TX,Male,55-64 years,1431889
TX,All Sexes,65-74 years,1828562
TX,Female,65-74 years,972904
TX,Male,65-74 years,855658
TX,All Sexes,75-84 years,915785
TX,Female,75-84 years,522243
TX,Male,75-84 years,393542
TX,All Sexes,85 years and over,352220
TX,Female,85 years and over,231109
TX,Male,85 years and over,121111
TX,All Sexes,Total,26756529
TX,Female,Total,13377364
TX,Male,Total,13379165
United States,All Sexes,25-34 years,43692784
United States,Female,25-34 years,21648268
United States,Male,25-34 years,22044516
United States,All Sexes,Under 25 years,103518337
United States,Female,Under 25 years,49384649
United States,Male,Under 25 years,54133688
United States,All Sexes,35-44 years,40904236
United States,Female,35-44 years,20553766
United States,Male,35-44 years,20350470
United States,All Sexes,45-54 years,43847153
United States,Female,45-54 years,22254444
United States,Male,45-54 years,21592709
United States,All Sexes,55-64 years,40427364
United States,Female,55-64 years,20950990
United States,Male,55-64 years,19476374
United States,All Sexes,65-74 years,26663945
United States,Female,65-74 years,14203934
United States,Male,65-74 years,12460011
United States,All Sexes,75-84 years,13936056
United States,Female,75-84 years,7938051
United States,Male,75-84 years,5998005
United States,All Sexes,85 years and over,6119697
United States,Female,85 years and over,4036990
United States,Male,85 years and over,2082707
United States,All Sexes,Total,319109572
United States,Female,Total,160971092
United States,Male,Total,158138480
UT,All Sexes,25-34 years,441468
UT,Female,25-34 years,217182
UT,Male,25-34 years,224286
UT,All Sexes,Under 25 years,1217564
UT,Female,Under 25 years,582129
UT,Male,Under 25 years,635435
UT,All Sexes,35-44 years,385777
UT,Female,35-44 years,189065
UT,Male,35-44 years,196712
UT,All Sexes,45-54 years,307996
UT,Female,45-54 years,153415
UT,Male,45-54 years,154581
UT,All Sexes,55-64 years,276520
UT,Female,55-64 years,140535
UT,Male,55-64 years,135985
UT,All Sexes,65-74 years,172376
UT,Female,65-74 years,90023
UT,Male,65-74 years,82353
UT,All Sexes,75-84 years,89384
UT,Female,75-84 years,49410
UT,Male,75-84 years,39974
UT,All Sexes,85 years and over,33582
UT,Female,85 years and over,19853
UT,Male,85 years and over,13729
UT,All Sexes,Total,2924667
UT,Female,Total,1441612
UT,Male,Total,1483055
VA,All Sexes,25-34 years,1154537
VA,Female,25-34 years,573709
VA,Male,25-34 years,580828
VA,All Sexes,Under 25 years,2630923
VA,Female,Under 25 years,1253378
VA,Male,Under 25 years,1377545
VA,All Sexes,35-44 years,1094958
VA,Female,35-44 years,551445
VA,Male,35-44 years,543513
VA,All Sexes,45-54 years,1183551
VA,Female,45-54 years,603321
VA,Male,45-54 years,580230
VA,All Sexes,55-64 years,1043147
VA,Female,55-64 years,542505
VA,Male,55-64 years,500642
VA,All Sexes,65-74 years,677364
VA,Female,65-74 years,361017
VA,Male,65-74 years,316347
VA,All Sexes,75-84 years,329960
VA,Female,75-84 years,187923
VA,Male,75-84 years,142037
VA,All Sexes,85 years and over,137493
VA,Female,85 years and over,92352
VA,Male,85 years and over,45141
VA,All Sexes,Total,8251933
VA,Female,Total,4165650
VA,Male,Total,4086283
VT,All Sexes,25-34 years,71749
VT,Female,25-34 years,35680
VT,Male,25-34 years,36069
VT,All Sexes,Under 25 years,184218
VT,Female,Under 25 years,87004
VT,Male,Under 25 years,97214
VT,All Sexes,35-44 years,71959
VT,Female,35-44 years,36365
VT,Male,35-44 years,35594
VT,All Sexes,45-54 years,91643
VT,Female,45-54 years,46826
VT,Male,45-54 years,44817
VT,All Sexes,55-64 years,95760
VT,Female,55-64 years,49026
VT,Male,55-64 years,46734
VT,All Sexes,65-74 years,62328
VT,Female,65-74 years,31987
VT,Male,65-74 years,30341
VT,All Sexes,75-84 years,30145
VT,Female,75-84 years,17132
VT,Male,75-84 years,13013
VT,All Sexes,85 years and over,13720
VT,Female,85 years and over,8791
VT,Male,85 years and over,4929
VT,All Sexes,Total,621522
VT,Female,Total,312811
VT,Male,Total,308711
WA,All Sexes,25-34 years,1020046
WA,Female,25-34 years,498420
WA,Male,25-34 years,521626
WA,All Sexes,Under 25 years,2221217
WA,Female,Under 25 years,1055108
WA,Male,Under 25 years,1166109
WA,All Sexes,35-44 years,923126
WA,Female,35-44 years,455258
WA,Male,35-44 years,467868
WA,All Sexes,45-54 years,952858
WA,Female,45-54 years,475761
WA,Male,45-54 years,477097
WA,All Sexes,55-64 years,915352
WA,Female,55-64 years,469316
WA,Male,55-64 years,446036
WA,All Sexes,65-74 years,590229
WA,Female,65-74 years,307316
WA,Male,65-74 years,282913
WA,All Sexes,75-84 years,276831
WA,Female,75-84 years,153466
WA,Male,75-84 years,123365
WA,All Sexes,85 years and over,125782
WA,Female,85 years and over,81365
WA,Male,85 years and over,44417
WA,All Sexes,Total,7025441
WA,Female,Total,3496010
WA,Male,Total,3529431
WI,All Sexes,25-34 years,728926
WI,Female,25-34 years,357360
WI,Male,25-34 years,371566
WI,All Sexes,Under 25 years,1822587
WI,Female,Under 25 years,870498
WI,Male,Under 25 years,952089
WI,All Sexes,35-44 years,692081
WI,Female,35-44 years,342076
WI,Male,35-44 years,350005
WI,All Sexes,45-54 years,815403
WI,Female,45-54 years,408383
WI,Male,45-54 years,407020
WI,All Sexes,55-64 years,779622
WI,Female,55-64 years,392424
WI,Male,55-64 years,387198
WI,All Sexes,65-74 years,484655
WI,Female,65-74 years,251372
WI,Male,65-74 years,233283
WI,All Sexes,75-84 years,264148
WI,Female,75-84 years,148990
WI,Male,75-84 years,115158
WI,All Sexes,85 years and over,126417
WI,Female,85 years and over,83681
WI,Male,85 years and over,42736
WI,All Sexes,Total,5713839
WI,Female,Total,2854784
WI,Male,Total,2859055
WV,All Sexes,25-34 years,218633
WV,Female,25-34 years,107208
WV,Male,25-34 years,111425
WV,All Sexes,Under 25 years,535277
WV,Female,Under 25 years,253820
WV,Male,Under 25 years,281457
WV,All Sexes,35-44 years,228148
WV,Female,35-44 years,112911
WV,Male,35-44 years,115237
WV,All Sexes,45-54 years,252328
WV,Female,45-54 years,127049
WV,Male,45-54 years,125279
WV,All Sexes,55-64 years,269885
WV,Female,55-64 years,138107
WV,Male,55-64 years,131778
WV,All Sexes,65-74 years,190104
WV,Female,65-74 years,98643
WV,Male,65-74 years,91461
WV,All Sexes,75-84 years,98631
WV,Female,75-84 years,55728
WV,Male,75-84 years,42903
WV,All Sexes,85 years and over,39389
WV,Female,85 years and over,26659
WV,Male,85 years and over,12730
WV,All Sexes,Total,1832395
WV,Female,Total,920125
WV,Male,Total,912270
WY,All Sexes,25-34 years,81662
WY,Female,25-34 years,39122
WY,Male,25-34 years,42540
WY,All Sexes,Under 25 years,191401
WY,Female,Under 25 years,89201
WY,Male,Under 25 years,102200
WY,All Sexes,35-44 years,70703
WY,Female,35-44 years,34030
WY,Male,35-44 years,36673
WY,All Sexes,45-54 years,73360
WY,Female,45-54 years,36159
WY,Male,45-54 years,37201
WY,All Sexes,55-64 years,80630
WY,Female,55-64 years,39765
WY,Male,55-64 years,40865
WY,All Sexes,65-74 years,47851
WY,Female,65-74 years,23941
WY,Male,65-74 years,23910
WY,All Sexes,75-84 years,23227
WY,Female,75-84 years,12494
WY,Male,75-84 years,10733
WY,All Sexes,85 years and over,9629
WY,Female,85 years and over,6060
WY,Male,85 years and over,3569
WY,All Sexes,Total,578463
WY,Female,Total,280772
WY,Male,Total,297691
